x_odometry,y_odometry,x_vision,y_vision,x_efference,y_efference
0.0180710960713279,0.303112261189313,0.00914191,0.38061962,0.0210445165446458,0.364572353129245
0.0181503741142507,0.304507850453863,0.00914191,0.38061962,0.021137684735059,0.366272354538977
0.0182266026336797,0.305898760698189,0.00914191,0.38404861,0.0212308529254722,0.36797235594871
0.0183003112230969,0.30729465519537,0.00914191,0.38747761,0.0213240211158854,0.369672357358442
0.0183629978561878,0.308725072602312,0.00914191,0.38747761,0.0214171893062986,0.371372358768174
0.018426384126708,0.310218426478239,0.00914191,0.3909066,0.0215116299512397,0.373072290441326
0.018506126209302,0.311754470008709,0.00914191,0.3909066,0.0216060705961809,0.374772222114477
0.0185908245642231,0.313299925835739,0.00914191,0.39433559,0.021700511241122,0.376472153787628
0.0186755229191442,0.314845381662768,0.00914191,0.39433559,0.0217936794315352,0.378172155197361
0.018768325574821,0.316385555560167,0.00914191,0.39776459,0.0218868476219484,0.379872156607093
0.0188945869580806,0.317923870639437,0.00914191,0.39776459,0.0219800158123616,0.381572158016825
0.0190421950057976,0.319494938860268,0.00914191,0.40119358,0.0220731840027748,0.383272159426557
0.0191930226209557,0.321123959297228,0.00914191,0.40462257,0.022166352193188,0.38497216083629
0.0193644604411098,0.322800236322703,0.00914191,0.40805157,0.0222595203836012,0.386672162246022
0.0195355247095463,0.324520132411785,0.00914191,0.40805157,0.0223539610285423,0.388372093919173
0.0196864295378883,0.326279902523707,0.00914191,0.40805157,0.0224484016734834,0.390072025592325
0.0198321900283564,0.328034747551494,0.01218922,0.41148056,0.0225428423184246,0.391771957265476
0.019918764394865,0.329754075445418,0.01218922,0.41490955,0.0226570602105681,0.393470559071039
0.019904698800379,0.331459874231101,0.01218922,0.41490955,0.0227700056481837,0.395169230613182
0.019834864084645,0.333168687563821,0.01218922,0.41833855,0.022861901384069,0.396869301759495
0.0197482986325366,0.334878405260653,0.01218922,0.41833855,0.0229537971199543,0.398569372905808
0.0196660980018299,0.336587767160116,0.01218922,0.42176754,0.0230456928558395,0.400269444052121
0.019617358843872,0.338295320331357,0.01218922,0.42519653,0.0231363828307282,0.401969579517094
0.0196367547221348,0.339999310388818,0.01218922,0.42519653,0.023227072805617,0.403669714982067
0.0197119197216457,0.341700285899242,0.01218922,0.43205456,0.0233189685415022,0.40536978612838
0.0198050879120589,0.343400287308974,0.01218922,0.43205456,0.0234108642773875,0.407069857274693
0.0199151847316444,0.345079972167685,0.01218922,0.43548355,0.0235040324678007,0.408769858684425
0.0200530007813598,0.346704830244991,0.01218922,0.43548355,0.0235984731127418,0.410469790357577
0.0202124230120345,0.348265512641226,0.01218922,0.43548355,0.023692913757683,0.412169722030728
0.0203686256752679,0.349768242821331,0.01218922,0.43891254,0.0237873544026241,0.413869653703879
0.0205185522464749,0.351208346335472,0.00914191,0.43891254,0.0238817950475652,0.415569585377031
0.0206991260181047,0.352601645582456,0.01218922,0.44234154,0.0239762356925064,0.417269517050182
0.0208847396497582,0.35398497632373,0.01218922,0.44234154,0.0240941506851209,0.418967818873153
0.021023350268915,0.355372421677618,0.01218922,0.44577053,0.0242120656777353,0.420666120696124
0.0211173492512946,0.356762345455677,0.01218922,0.44577053,0.0243065063226765,0.422366052369276
